"No.","Time","Source","Destination","Protocol","Length","Info"
"398","8.535881","187.33.247.110","192.168.0.112","TCP","1494","443  >  57963 [ACK] Seq=1441 Ack=518 Win=66816 Len=1440 [TCP segment of a reassembled PDU]"
"399","8.535881","187.33.247.110","192.168.0.112","TLSv1.3","477","Application Data"
"400","8.536055","192.168.0.112","187.33.247.110","TCP","54","57963  >  443 [ACK] Seq=518 Ack=3304 Win=132352 Len=0"
"401","8.538468","192.168.0.112","187.33.247.110","TLSv1.3","118","Change Cipher Spec, Application Data"
"402","8.539323","192.168.0.112","187.33.247.110","TLSv1.3","619","Application Data"
"404","8.545779","192.168.0.112","187.33.247.110","TLSv1.3","118","Change Cipher Spec, Application Data"
"405","8.547115","192.168.0.112","187.33.247.110","TLSv1.3","625","Application Data"
"406","8.559315","187.33.247.110","192.168.0.112","TCP","60","443  >  57964 [ACK] Seq=3304 Ack=1147 Win=67840 Len=0"
"407","8.559315","187.33.247.110","192.168.0.112","TLSv1.3","695","Application Data, Application Data"
"408","8.574820","187.33.247.110","192.168.0.112","TCP","60","443  >  57963 [ACK] Seq=3304 Ack=1153 Win=67840 Len=0"
"409","8.574820","187.33.247.110","192.168.0.112","TLSv1.3","695","Application Data, Application Data"
"410","8.604572","192.168.0.112","187.33.247.110","TCP","54","57964  >  443 [ACK] Seq=1147 Ack=3945 Win=131584 Len=0"
"412","8.619447","192.168.0.112","187.33.247.110","TCP","54","57963  >  443 [ACK] Seq=1153 Ack=3945 Win=131584 Len=0"
"413","8.623300","192.168.0.112","187.33.247.110","TLSv1.3","1677","Application Data"
"414","8.626640","192.168.0.112","187.33.247.110","TLSv1.3","1538","Application Data"
"416","8.642211","187.33.247.110","192.168.0.112","TCP","60","443  >  57963 [ACK] Seq=3945 Ack=2776 Win=71168 Len=0"
"417","8.643347","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data, Application Data"
"418","8.643347","187.33.247.110","192.168.0.112","TLSv1.3","943","Application Data"
"419","8.643540","192.168.0.112","187.33.247.110","TCP","54","57963  >  443 [ACK] Seq=2776 Ack=6274 Win=132352 Len=0"
"420","8.645224","187.33.247.110","192.168.0.112","TCP","60","443  >  57964 [ACK] Seq=3945 Ack=2631 Win=70912 Len=0"
"459","8.721506","187.33.247.110","192.168.0.112","TLSv1.3","1494","Application Data"
"460","8.722537","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=5385 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"461","8.722537","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=6825 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"462","8.722537","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=8265 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
"463","8.722537","187.33.247.110","192.168.0.112","TCP","1494","443  >  57964 [ACK] Seq=9705 Ack=2631 Win=70912 Len=1440 [TCP segment of a reassembled PDU]"
